bank,higher_education
3755b59782464456bac1aec1a44e0db3,0.0
604a550439d644718ea6e1693fbf03dc,0.0
542d4776ebe5454fb8ab36f1c276fe0e,1.0
ee37fecea44d475ca030cde7ff7d545d,0.0
18617a1100f44a99b3a0772341fec3db,0.0
079f07153c0149d19f54646618452929,0.0
6dee55b3d7284d18bed3094ee3103812,1.0
13fdbc4dbd394c7fb28b65721c8e5d6b,1.0
f94284392a064a93bc29742589a3b560,1.0
8653cbc7d48148a6a227853bdf05950a,1.0
b38863ecab6340c2a665cfa6c3003ddc,1.0
fe19bba195414500b10427d6725d3914,1.0
0a0ae064b7d8423a8a990b65b72247ac,0.0
546e6e2e490f42d6887465364c08995d,1.0
499c20f1e53b4429b3045582c7959399,1.0
9a35b2d9f02f49e09afc1ff075e1d5ca,1.0
5f3b2dbc151f4067bf9d898a375e0593,0.0
aaef9bc7a58e40bba4cb190a66c0b4fe,1.0
91836eaf9d4e4975ba9e7a8e8c895701,1.0
c883d8fdb75a49daa6822d216d6f096f,1.0
044535bd1bdc4528b1d32a229f7c9dea,0.0
1ddd482bcced404e8a7a5793898432e2,1.0
1fddb2056d1748bcb7c22576f43a7137,0.0
99923fad4d884d3681a6f890510487be,1.0
a58067381b3948dc99e8725be8e982f8,0.0
0f83a9c343ff4db88cbaf49378c069e2,0.0
bc4f16ad16694201bfa5ada13a4dd1dc,1.0
5c4fbe21d35943818d110e7aaec739c7,0.0
e9fffa78b57b43cda20de2c5e58490a2,1.0
12f96042d7b448779872f96b81df548b,1.0
c300f637f39a47e3b620454763f16373,0.0
95abbc52c5a0470c9f5fdbbf1a6a969f,1.0
9aa9c3ae6b884a9cbadb56728ee75a26,0.0
fa2c0f0b832e4a4bb8264d0da27994b5,1.0
95a23250d590439d9ac7b40923816275,1.0
398f1efec6de44538bbe08a4dc56be13,0.0
7f5c823fb81b45028e26ec9ab34fbc6d,1.0
d17e345785b64e0c87eea20fd0196f38,1.0
4562295642fc4ad38576939c4a0fa45a,1.0
f1e277c3f5b944a894f771e226d2335f,0.0
6b92c6ad123648a4aa8058a348fe3c56,1.0
35fdc767398a4c70a353b9a7b9400bc4,1.0
999332a3e5324c208d6378fe551fbf2c,1.0
62feb6fdd7f24a67bfd8d92aefde0696,1.0
877f1594d376418e848311c2da65f887,1.0
14513d143a1b4050901a0a650959a5d9,0.0
d2a5aaa2200d4eacbdffc082e4b0ba26,1.0
43d04c3080c746e98b0a21d68d822fe2,0.0
4e87427f734149df9e7f0ba379eaa063,1.0
2bb6d2da84f34b7d95ffa527c6469ff9,0.0
50beb7a82f084f9aacca50f9b3652a05,1.0
cb9c76654aed40f3b516e3b422ebc41f,1.0
cd4f8e9f71c44b88b21ee47f8e144f12,0.0
a1014df8dc164e028abedd5194c68b9c,1.0
908e0eefc1424bdba19f0381315c011d,1.0
d6560d1ff07744d8af47d57c4d946659,0.0
ae49605f137a4882882f69b9d9c9d55f,1.0
db638b9707924fb29f9f9d97d12b9974,1.0
9f2aad86268a4484a10db0b205ce4573,0.0
20d2ffe0132c4fc6adc9928cc69b768b,1.0
0edfae56cdbe4356824fe6db23c63313,1.0
638a20e544d1445896255c1accebce36,1.0
09ab11f92b53459cb75245670a035229,0.0
5f2069786739444082f11daa907a1ec1,1.0
bf3c42930bb8425e8e554a5f63864ddb,1.0
a6b3e856c83a4a0cacf20a6ebce1c104,1.0
76a2344fb85e4e1485d0b900b2fd50c4,1.0
35d0b97898e041e59d10558715376fe9,1.0
6a83652ce9a740d6805403439a3960c9,1.0
2be2159f400c493ab8a8994b67bbea3f,1.0
efc6161db8d8425f869b8012d8a76e3a,1.0
d09beb3a6e7942968040e8ccac58f46f,1.0
3882956abb374802816a3a4ff1c2aaa6,1.0
88d4b5e2e5b447ccb286cab993fa32b2,1.0
40e4d36e1c0e4e01ba8a3cd735ad912f,0.0
d9de36e614ba4f38bd0189b8e2daf1d3,0.0
fa8621ddeb78467baf7812c42f48c9d7,1.0
8930667760774049ac1eb5aa34228229,1.0
dc71924338a9452482970129ff907b62,1.0
88cc1d391b834330a976cab723814cb2,1.0
97794ea34a454e8c9f0065784e7d7082,1.0
691e7504e131461ebd5af0818702b729,1.0
30f4e3f8184f436da17f175e2eeea56e,1.0
bdad2e5033434182a1370eb784b035ec,1.0
0be3d6bef09144cf903211bd3827e71e,0.0
5e478efa9e734ad8b3fa62a1b4cad2ba,1.0
54d26a3207724d21a29b9d1017010554,1.0
7458ea8294a84186b4399f807901ba88,1.0
9599486b00324f5cb83584303fd5cb33,0.0
778c47fb4c0d4445ac95ffe2701d9063,0.0
2fa51c5c55b04fec94b48e6202b18c42,1.0
df8b40c9f23449658bf0ff4e1280c4fb,1.0
eeb558aba36c414da785cd8b820fae3d,1.0
f0221e1e812c4122b453dc46c56d884c,1.0
5b17871b2f1146a19ddbf7a56a97defa,1.0
76299a166307483e9ca9858731a9ef7d,0.0
6233282e846842b9a77ba3d17e107cc5,0.0
ff0307f89790497c815ec84596ac3c34,1.0
09505bf2aec644969afd67cd6c37c44c,1.0
9f4d64953f7741688269b309e58433af,0.0
cd55fe1f91df48febd8d29540438e2c7,0.0
1fafedd3283b45ea83fcd38df687b736,1.0
38c2758420314584a0d020591180f900,1.0
b51c6a8434fa40efbd9c4bef29ec23db,0.0
